c0,c1,c2,c3,c4,c5,c6,c7
1.5977772,0.44287553,0.40821543,-0.9650668,-0.8860281,-0.44414344,-1.5437074,-0.15083739
-1.1927507,0.2686129,1.7950324,0.47229046,0.6565819,-0.45283222,1.0765766,-0.39174438
-0.62435263,-0.43551257,-0.42197686,-0.11799472,1.2248236,1.5760897,0.6715139,-0.11585532
-0.65551126,0.08793529,0.4666514,1.4505199,-0.23402572,-0.5450341,0.7521496,1.1456546
-1.3361082,-0.3900664,0.39042264,-0.7903523,-0.19870141,1.1465951,0.69275755,0.17425647
1.1892314,-1.1364892,-0.9599246,-1.2311158,-0.9141059,-1.3483281,0.023300685,-1.7295283
1.2263609,1.8100919,-0.3805811,-0.30066836,-1.2388723,-0.96799296,0.5197772,0.6132728
-0.42573684,-0.05291937,-0.9467139,-0.57116103,1.0203364,-0.04278098,0.52806365,-0.22578874
0.8454311,-1.5982752,-1.7546331,-1.9623501,0.7250566,0.19804907,1.6934156,-1.0676652
0.3234129,0.055775225,0.54331505,1.4270178,-1.9246925,-2.0353248,0.62415886,-0.63064814
1.3882531,0.011055415,-0.8738587,-0.952703,1.4013267,-1.2010965,-1.2286823,0.5478428
-0.25972223,0.17814383,-2.5471451,0.3894192,0.45233542,-0.37708077,-0.7200617,-1.3959639
0.18624608,0.7548928,1.6367879,-0.6470315,1.9254475,2.4169846,-0.26545277,0.2610037
-1.7249732,0.3849541,0.11293623,1.3177428,-0.023318015,-0.48758614,0.44185027,-0.9562714
0.5702501,-1.0738751,-0.9934515,-2.0052414,-0.8538233,1.1857896,-1.76179,-1.5992088
-0.88515365,-0.9145462,-0.05562488,-1.1379431,0.058173243,0.9875629,0.60112125,0.82526886
-0.12197896,0.29051983,-0.89504474,2.60184,0.21199399,2.012679,-0.50321436,-0.62222904
0.8028732,0.67413425,1.0812029,0.10045598,-1.3217775,0.6573891,0.51842487,-0.017194921
0.7287258,1.9363332,-0.19313395,0.46670654,-0.33749187,-0.11746451,0.43806073,-0.46896505
1.4571804,0.5353322,-0.5418453,-0.31844947,-0.52082384,-0.09815014,0.00620913,-0.25795358
0.27046075,0.4689889,0.24737452,-1.2378824,-0.5320413,0.4110051,0.05119233,0.74836177
1.2383021,-0.92074287,0.09173145,1.0996661,-0.21548319,-1.0408092,0.9080126,0.9761699
0.24715015,-0.17589228,-0.61375195,0.3145722,-0.48616078,0.33730936,-1.1839975,0.6435225
0.0040937103,-0.7905448,0.82299346,-0.5604797,2.5360034,-1.1267198,-0.36117205,1.251825
1.4673017,-1.2238662,-1.1691419,-0.26289412,-0.7310489,-0.5401492,-0.6466941,2.0996037
0.8945498,0.017204028,1.2893236,0.0508658,1.0170213,-1.7393066,0.8317706,-0.2964543
0.64357966,-2.0235035,-0.07766313,0.97862244,0.66599345,0.49797645,-1.6297017,-0.15755431
0.22687717,0.48473305,-0.4046171,-0.04722875,0.93545943,1.0869153,0.69159657,0.80079687
1.0441206,-0.5649015,0.03269479,0.1913249,-0.5156889,0.4573153,-0.23344506,0.8514025
0.49009803,0.8775323,1.3409909,0.8442742,-0.9874813,1.5711182,-0.44744483,-1.4661974
-0.08189467,-0.82981116,-1.5852977,1.3720917,1.54119,0.52710235,-2.0647895,1.4949077
-1.1523852,0.32449946,0.89774173,-0.7279369,0.64046425,0.59835327,-0.77437747,0.35924935
0.9341329,0.8080796,1.7792597,1.7252954,0.28082752,-0.8061079,0.8590876,0.6490435
0.12792125,-0.25439373,1.2972702,-0.5888497,-1.4616212,-1.2825917,0.40947104,-1.2027973
1.8107258,-0.47137007,0.043316912,2.2735803,-1.4808857,0.07322846,-1.785496,-1.2810501
0.17104314,0.15410438,0.44286633,-0.5655944,-0.08522051,-0.20823681,-1.3384049,0.055247296
1.3752753,-0.38148308,-0.14480725,-1.8318146,1.8185803,-1.3887489,-0.779958,1.7186462
-1.1833874,-1.5703232,-0.21694066,1.3734694,0.19358948,0.31498504,0.4006514,1.6639601
-1.3036723,-0.067115426,-0.18084295,-1.0248578,0.067137614,0.024389707,-1.2466507,-0.33496186
1.9991181,-0.5692309,-0.54008156,-0.31211182,-0.2935343,1.3572274,1.462628,-0.2677243
0.40357807,-0.8090584,0.48812968,-1.9632385,-1.251865,-0.42102197,1.3318106,1.0472022
1.8934181,0.45218298,0.33684286,0.44042042,0.63717014,0.98043185,0.22729452,1.3792504
1.0123934,-0.46101817,0.054850735,0.5714397,-0.5690829,-0.105956815,0.64878154,-0.26801857
-1.0363874,-0.20479532,0.12703544,0.7872907,0.49184427,-0.018329632,0.2143053,-1.6310272
-1.2510065,-0.2572278,0.48741353,-0.26498306,-1.2270321,-0.16209486,1.2125624,-1.5193641
0.034575697,1.2417676,0.36453557,0.56023055,-0.040723097,1.4053602,-0.28182885,-1.8697115
0.34116858,-1.4505674,-0.5687624,0.19434243,-0.6510393,-1.1024563,0.102592565,-0.87188137
0.14277084,-1.1568437,0.1623916,-0.66959393,-0.18784349,0.7461419,2.2489882,-0.26873946
1.3746592,-0.33837014,-0.52948487,-0.8757749,-0.53712624,-0.035423677,-0.18078917,0.54833204
-0.8533292,0.8269464,-1.1339952,-1.544954,-0.48024172,-0.61174464,-0.44668794,-0.1205399
-0.22525957,-0.5392859,0.28464004,-0.08576146,-0.076275386,0.17677347,1.0205152,-2.172228
2.4931555,-0.31642213,0.8732142,1.4323915,-0.673732,0.44047645,-0.12972544,1.5506628
0.29673353,-1.5426039,-0.065170296,0.29703692,0.49361408,0.70988625,1.481844,0.37955728
1.731001,0.8148145,0.5103501,-0.6041089,-0.12625484,0.76845133,-1.1522338,0.63928765
